hotel_id,state,city,ratings,alcohol_availability,hotel_name,total_rooms,category,pricing,meals
39,Rajasthan,Alwar,1.6,Without Alcohol,SPARROW INN  A Unit of Alwar Hospitality Pvt  Ltd  ,19,2,29576,Lunch
40,Andhra Pradesh,East Godavari,3.5,Without Alcohol,HOTEL SHELTON RAJAMAHENDRI,97,3,43027,All meals
41,Andhra Pradesh,Kakinada,2.4,Without Alcohol,Royal Park Sri Adilakshmi Property Developers Pvt  Ltd  ,84,3,63482,Breakfast
42,Andhra Pradesh,Kurnool,4,Without Alcohol,Triguna Clarks Inn,49,3,35931,Dinner
43,Andhra Pradesh,Nellore,3,Without Alcohol,MINERVA GRAND   NELLORE,106,3,41567,Dinner
44,Andhra Pradesh,Rajahmundry,1.1,Without Alcohol,La Hospin Hotel Rajahmundry  A unit of La Hospin Hotels and Resorts Private Limited ,69,3,68394,All meals
45,Andhra Pradesh,Rajam,2.3,Without Alcohol,River Bay Resort,68,3,57812,Breakfast
46,Andhra Pradesh,Tirupati,2.4,Without Alcohol,BHIMAS RESIDENCY HOTEL  A UNIT OF BHIMAS RESIDENCY HOTELS PRIVATE LIMITED ,48,3,72894,Lunch
47,Andhra Pradesh,Tirupati,4.7,Without Alcohol,FORTUNE KENCES HOTEL,126,3,31754,Breakfast
48,Andhra Pradesh,Tirupati,4.1,Without Alcohol,Hotel Bliss,92,3,44983,Dinner
49,Andhra Pradesh,Tirupati,1.3,Without Alcohol,Minerva Grand Tirupati,69,3,65287,All meals
50,Andhra Pradesh,Vijayawada,4.6,Without Alcohol,HOTEL AJANTHA EVERGREEN,36,3,49105,All meals
51,Andhra Pradesh,Vijayawada,3,Without Alcohol,Hotel Manorama A Unit of Welcome Poorna Enterprises Private Limited ,70,3,71456,Breakfast
52,Andhra Pradesh,Vijayawada,5,Without Alcohol,HOTEL MIDCITY,44,3,38276,All meals
53,Andhra Pradesh,Vijayawada,4,Without Alcohol,THE KAY HOTEL,40,3,53621,Dinner
54,Andhra Pradesh,Visakhapatnam,2.2,Without Alcohol,BEST WESTERN RAMACHANDRA,64,3,33927,Breakfast
55,Andhra Pradesh,Visakhapatnam,4.5,Without Alcohol,FAIRFIELD BY MARRIOTT,121,3,58402,Lunch
56,Arunachal Pradesh,Itanagar,5,Without Alcohol,Cygnett Inn Trendz,32,3,62347,All meals
57,Arunachal Pradesh,Itanagar,2.2,Without Alcohol,Waii International Hotel,50,3,36821,Dinner
58,Arunachal Pradesh,West Kameng,4.4,Without Alcohol,NORPHEL RETREAT DIRANG,45,3,74291,Breakfast
59,Assam,Dibrugarh,3.2,Without Alcohol,Hotel Rainbow ,25,3,55309,Lunch
60,Assam,Dibrugarh,2,Without Alcohol,PUSHKARA GARDEN,60,3,47865,All meals
61,Assam,Guwahati,4.7,Without Alcohol,DICHANG RESORT,57,3,66935,All meals
62,Assam,Guwahati,5,Without Alcohol,HOTEL CITYWALK INTERNATIONAL,41,3,69142,Lunch
63,Assam,Guwahati,2.4,Without Alcohol,Hotel Paramount Palacio,25,3,32891,Breakfast
64,Assam,Guwahati,3.1,Without Alcohol,Mayflower Hotel  A Unit of Mayflower Hotels and Resorts LLP ,36,3,47543,Dinner
65,Assam,Guwahati,2.6,Without Alcohol,The Lily Hotel,78,3,54892,All meals
66,Assam,Jorhat,1.4,Without Alcohol,Gulmohar Grand  an Unit of Borthakur Developers ,26,3,34678,Dinner
67,Assam,Kokrajhar,4.9,Without Alcohol,HOTEL GAURANG VALLEY,62,3,70928,Breakfast
68,Assam,Mangaldoi,1.9,Without Alcohol,Repose Highway Resort  A unit of Repose Highway Resort Private Limited ,20,3,73481,All meals
69,Assam,Nagaon,2.9,Without Alcohol,HOTEL BLUE BIRD,22,3,48302,Lunch
70,Bihar,Bodhgaya,3.7,Without Alcohol,Oaks Bodhgaya  A unit of Bodhi Hotel and Resorts Pvt  Ltd  ,78,3,73795,Breakfast
71,Chhattisgarh,Bilaspur,3.5,Without Alcohol,COURTYARD BY MARRIOTT BILASPUR ,100,3,56418,All meals
72,Chhattisgarh,Bilaspur,3.1,Without Alcohol,Hotel Intercity International,39,3,75000,Dinner
73,Chhattisgarh,Bilaspur,4.1,Without Alcohol,THE EMERALD,22,3,42967,Lunch
74,Chhattisgarh,Durg Bhilai Nagar,3.1,Without Alcohol,Hotel Ashish International,17,3,34529,Breakfast
75,Chhattisgarh,Durg Bhilai Nagar,4.6,Without Alcohol,Hotel Grand Dhillon,39,3,52713,All meals
76,Chhattisgarh,Korba,2.972461752,Without Alcohol,hotel relax inn,42,3,64820,Dinner
77,Chhattisgarh,Raigarh,2.972461752,Without Alcohol,Hotel Accordd Premier  ACCORDD Chain of Hotels ,35,3,61304,Lunch
78,Chhattisgarh,Raigarh,2.972461752,Without Alcohol,Hotel Ans International,71,3,46287,Breakfast
79,Chhattisgarh,Raipur ,2.972461752,Without Alcohol,GREENWOOD FOURSEASONS ,15,3,51209,All meals
80,Chhattisgarh,Raipur ,4,Without Alcohol,HOTEL GAGAN REGENCY,26,3,70563,Lunch
81,Chhattisgarh,Raipur ,3,Without Alcohol,HOTEL IVY,38,3,61092,Breakfast
82,Chhattisgarh,Raipur ,1.1,Without Alcohol,HOTEL KINGSWAY,30,3,38745,All meals
83,Chhattisgarh,Raipur ,2.3,Without Alcohol,HOTEL SOLITAIRE   A UNIT OF R R S K ENTERPRISES ,48,3,43926,Dinner
84,Chhattisgarh,Raipur ,2.4,Without Alcohol,HOTEL THE GOLDEN OAK,28,3,50283,Breakfast
85,Chhattisgarh,Raipur ,4.7,Without Alcohol,RMV RESORT AND HOTELS PVT LTD,111,3,41690,Lunch
86,Chhattisgarh,Rajnandgaon,4.1,Without Alcohol,Hotel Awana,15,3,63172,All meals
87,Delhi,New Delhi,1.3,Without Alcohol,HOTEL THE MANOR,12,3,37840,Dinner
88,Goa,Margao,3,Without Alcohol,Hotel Nanutel Margao,55,3,66821,Breakfast
89,Goa,vasco da gama,5,Without Alcohol,Hotel La Paz Gardens  A unit of Hotel La Paz Gardens Pvt  Ltd  ,73,3,67439,All meals
90,Gujarat,Ahmedabad,4,Without Alcohol,Aarya Grand Hotels Resorts,105,3,40512,Lunch
91,Gujarat,Ahmedabad,2.2,Without Alcohol,AJU IMPERIAL HOTEL  A UNIT OF AJU RYOKAN NCR PVT LTD  ,107,3,54309,Breakfast
92,Gujarat,Ahmedabad,4.5,Without Alcohol,AVALON HOTEL AND BANQUETS,46,3,67918,All meals
93,Gujarat,Ahmedabad,5,Without Alcohol,Belvedere Club  A unit of BELVEDERE GOLF AND COUNTRY CLUB PVT LTD,55,3,60287,Dinner
94,Gujarat,Ahmedabad,2.2,Without Alcohol,Bloom Suites  A unit of Ms Rising Hotel Limited ,68,3,62850,Breakfast
95,Gujarat,Ahmedabad,4.4,Without Alcohol,Comfort Inn President  A unit of Sun N Silver Inn Pvt  Ltd ,57,3,69730,Lunch
96,Gujarat,Ahmedabad,3.2,Without Alcohol,COMFORT INN SUNSET,57,3,57182,All meals
97,Gujarat,Ahmedabad,2,Without Alcohol,HOTEL CENTRA,37,3,58392,Dinner
98,Gujarat,Ahmedabad,2.972461752,Without Alcohol,HOTEL NALANDA,43,3,72418,All meals
99,Gujarat,Ahmedabad,1,Without Alcohol,Hotel Silvera Grand,21,3,69592,Breakfast
100,Gujarat,Ahmedabad,4.4,Without Alcohol,Palm Greens Club  Unit of Snesh Resorts Private Limited,62,3,32798,Lunch
101,Gujarat,Ahmedabad,3.4,Without Alcohol,Regenta Central Antarim ,73,3,64291,All meals
102,Gujarat,Ahmedabad,1.6,Without Alcohol,Regenta Inn   Ranip,102,3,59345,Breakfast
103,Gujarat,Ahmedabad,3.5,Without Alcohol,TGB EXPRESS HOTEL  A UNIT OF HOTEL PALMLAKE  KANKARIA  PVT  LTD ,33,3,50938,Dinner
104,Gujarat,Anand,2.4,Without Alcohol,Humming Bird Hotel and Banquet,38,3,73129,All meals
105,Gujarat,Anand,4,Without Alcohol,LA CASA INN ,44,3,70382,Lunch
106,Gujarat,Bharuch,3,Without Alcohol,Regenta Central Harimangla,104,3,37892,Breakfast
107,Gujarat,Bharuch,1.1,Without Alcohol,Regenta Central Hestia Dahej,69,3,35829,All meals
108,Gujarat,Bharuch,2.3,Without Alcohol,VEDIK RESORT,129,3,69421,Dinner
109,Gujarat,Bhavnagar,2.4,Without Alcohol,Top3 Lords Resort  A unit of Tree Top Resorts Spa Pvt  Ltd  ,39,3,44512,Lunch
110,Gujarat,Bhavnagar,2.972461752,Without Alcohol,VIRGO SUMERU,33,3,47923,All meals
111,Gujarat,Bhuj,4,Without Alcohol,HOTEL COMFORT INN PRINCE ,44,3,66123,Breakfast
112,Gujarat,Bhuj,3,Without Alcohol,HOTEL ILARK,29,3,52317,All meals
113,Gujarat,Bhuj,1.1,Without Alcohol,HOTEL SEVEN SKY,82,3,41937,Breakfast
114,Gujarat,Bhuj,2.3,Without Alcohol,LaKamp Resort  Unit of Kashish Resort ,29,3,53629,Lunch
115,Gujarat,Bhuj,2.4,Without Alcohol,The Fern Residency Bhuj  A unit of Ms THE BESIL INN ,46,3,63715,Dinner
116,Gujarat,Dang,4.7,Without Alcohol,Sunotel,90,3,34589,All meals
117,Gujarat,Dwarka,4.1,Without Alcohol,Bapu   s Resort  Unit of Bapu Enterprise ,52,3,45892,Breakfast
118,Gujarat,Jamnagar,1.3,Without Alcohol,Highway Hari,19,3,75000,Dinner
119,Gujarat,Kutch,3,Without Alcohol,ambar sarovar portico,58,3,71942,All meals
120,Gujarat,Mahesana,5,Without Alcohol,HOTEL SHIVALIK,30,3,48673,Lunch
121,Gujarat,Morabi,4,Without Alcohol,Sarovar Portico  Unit of Specific Ceramic Hotel,59,3,74295,Breakfast
122,Gujarat,Morbi,2.2,Without Alcohol,Khajoora Hotel n Resort,40,3,70281,All meals
123,Gujarat,Morvi,4.5,Without Alcohol,DARIYALAL HOTEL ,18,3,72539,Dinner
124,Gujarat,Morvi,5,Without Alcohol,HOTEL THE GRAND VAIBHAV,35,3,38764,All meals
125,Gujarat,Morvi,2.2,Without Alcohol,Lords Eco Inn unit of Hotel Seven Paradise,40,3,55238,Lunch
126,Gujarat,Morvi,4.4,Without Alcohol,OAK TREE,52,3,46289,Breakfast
127,Gujarat,Morvi,3.2,Without Alcohol,Regenta Inn Unit of Hotel The Grand Dharmendra,54,3,62134,All meals
128,Gujarat,Porbandar,2.4,Without Alcohol,LORDS ECO INN,29,3,74315,Dinner
129,Gujarat,Porbandar,3.1,Without Alcohol,Lords Eco Inn   A Unit of Delite Enterprise   ,29,3,54312,Breakfast
130,Gujarat,Rajkot,2.6,Without Alcohol,AARYARAJ CLUB AND RESORTS,28,3,65317,All meals
131,Gujarat,Rajkot,1.4,Without Alcohol,Hotel Comfort INN Legacy  Prop  S Kumar Associates Private Limited ,37,3,57293,Lunch
132,Gujarat,Rajkot,4.9,Without Alcohol,Hotel KK Beacon  A Unit of Hotel K K   India  Private Limited ,34,3,72367,Breakfast
133,Gujarat,Rajkot,1.9,Without Alcohol,Krishna Park Resort  A unit of Messrs Hotel Krishna Park Nursary ,29,3,39251,Dinner
134,Gujarat,Rajkot,2.9,Without Alcohol,marasa sarovar portico rajkot ,68,3,66821,All meals
135,Gujarat,Rajkot,3.7,Without Alcohol,Phoenix Hospitality,24,3,41536,Lunch
136,Gujarat,Rajkot,3.5,Without Alcohol,REGENCY LAGOON RESORT,120,3,62731,Breakfast
137,Gujarat,Rajkot,3.1,Without Alcohol,Regenta Central Rajkot  Unit of P P Developers ,92,3,74678,Dinner
138,Gujarat,Sanand,4.1,Without Alcohol,Ginger Sanand,104,3,72491,All meals
139,Gujarat,Saurashtra,3.1,Without Alcohol,LORDS RESORT A UNIT OF SETU JOY PVT  LTD ,42,3,69827,Lunch
140,Gujarat,Surat,4.6,Without Alcohol,SHILPI HILL RESORT,68,3,63294,Breakfast
141,Gujarat,Surat,1.1,Without Alcohol,The Amore Banquets,17,3,67894,Dinner
142,Gujarat,Talaja,2.3,Without Alcohol,The Postcard Gir Wildlife Sanctuary  A unit of The General s Retreat Gir ,15,3,74129,All meals
143,Gujarat,Vadodara,2.4,Without Alcohol,The Fern  Akota Vadodara  A unit of Nand Hospitality Pvt  Ltd   ,72,3,55728,Breakfast
144,Gujarat,Vadodara,1.1,Without Alcohol,COMFORT INN DONIL  MANISH EMPIRE ,79,3,51892,All meals
145,Gujarat,Vadodara,2.3,Without Alcohol,Eastin Residences Vadodara,44,3,73429,Dinner
146,Gujarat,Vadodara,2.4,Without Alcohol,HOTEL RAMADA ENCORE ,52,3,37129,Lunch
147,Gujarat,Vadodara,4.7,Without Alcohol,Kabir Hotel and Spa,57,3,74732,Breakfast
148,Gujarat,Vadodara,4.1,Without Alcohol,Regenta Inn by Royal Orchid Hotels  unit of Cube Construction Engineering ltd ,58,3,43928,All meals
149,Gujarat,Vadodara,1.3,Without Alcohol,Suncity LIfestyle,37,3,33521,Dinner
150,Gujarat,Vapi,3,Without Alcohol,HOTEL SILVER LEAF VILLAGE,17,3,67921,Lunch
151,Gujarat,Viramgam,5,Without Alcohol,HOTEL MIDORI,38,3,54276,Breakfast
152,Haryana,Ambala,4,Without Alcohol,MM CONTINENTAL HOTEL,48,3,48257,All meals
153,Haryana,Gurgaon,2.2,Without Alcohol,Country Inn   Suites By Carlson  A Unit of Tuberose Hotel ,73,3,36427,Breakfast
154,Haryana,Gurgaon,4.5,Without Alcohol,Fortune Park Orange  A unit Of Orange SPA Hotel and Resorts Pvt  Ltd,96,3,65394,Dinner
155,Haryana,Gurgaon,5,Without Alcohol,IBIS GURGAON,214,3,62937,All meals
156,Haryana,Gurgaon,2.2,Without Alcohol,Lemon Tree Hotel  Tarudhan Valley   Manesar  A unit of Coronet Hotel Services and Supplies Pvt  Ltd  ,70,3,73492,Lunch
157,Haryana,Gurgaon,4.4,Without Alcohol,Lemon Tree Hotel Tarudhan Valley,70,3,45927,Breakfast
158,Haryana,Gurgaon,3.2,Without Alcohol,Skycity Hotels Private Limited,55,3,55286,Dinner
159,Haryana,Rewari,2,Without Alcohol,Aravali Resorts,29,3,52913,All meals
160,Himachal Pradesh,Solan,2.4,Without Alcohol,Timber Trail Resort  Unit of Asia Resort Ltd  ,28,3,34295,Breakfast
161,Karnataka,Bangalore,3.1,Without Alcohol,Angsana Oasis Spa and Resort  A unit of Prestige Leisure Resorts Pvt  Ltd  ,79,3,75000,Dinner
162,Karnataka,Bangalore,2.6,Without Alcohol,Holiday Inn Express and Suites Bengaluru  OMR  Unit of Brigade Hotel Ventures Limited,237,3,53812,Lunch
163,Kerala,Adoor,1.4,Without Alcohol,CENTRAL PARK HOTEL,10,3,65192,All meals
164,Kerala,Alappuzha,4.9,Without Alcohol,ALLEPPEY PRINCE HOTEL,43,3,60238,Breakfast
165,Kerala,Alappuzha,1.9,Without Alcohol,Enkey s Residency,10,3,49732,Dinner
166,Kerala,Alappuzha,2.9,Without Alcohol,HOTEL INDRAPRASTHA,10,3,72821,All meals
167,Kerala,Alappuzha,3.7,Without Alcohol,HOTEL KALAI,15,3,40219,Lunch
168,Kerala,Alappuzha,3.5,Without Alcohol,HOTEL KARTHIYAYINI,12,3,73421,Breakfast
169,Kerala,Alappuzha,3.1,Without Alcohol,JEENA RESIDENCY,10,3,71238,All meals
170,Kerala,Alappuzha,4.1,Without Alcohol,Magnet Hotels,12,3,71529,Dinner
171,Kerala,Alappuzha,3.1,Without Alcohol,THE ROYALE PLAZA,24,3,70831,Breakfast
172,Kerala,Angamaly,4.6,Without Alcohol,HOTEL BLUE BELLS  a Unit of EDASSERY MOTELS AND VILLAS  ,14,3,69473,All meals
173,Kerala,Angamaly,1.1,Without Alcohol,HOTEL HILLS PARK  MATHA ENTERPRISES ,17,3,38726,Lunch
174,Kerala,Angamaly,2.3,Without Alcohol,HOTEL MAXX INN,10,3,74283,Breakfast
175,Kerala,Angamaly,2.4,Without Alcohol,The Hotel Chettungal,10,3,44783,Dinner
176,Kerala,Angamaly,4.7,Without Alcohol,Vrindavan Retreat,10,3,61382,All meals
177,Kerala,Attingal,4.1,Without Alcohol,DEV RESIDENCY,11,3,63127,Breakfast
178,Kerala,Calicut,1.3,Without Alcohol,Hill Side ,11,3,62987,Lunch
179,Kerala,Calicut,5,Without Alcohol,Hotel Maharani  A unit of Hotel Maharani Pvt  Ltd  ,43,3,48732,Dinner
180,Kerala,Calicut,4,Without Alcohol,Hotel Surya,15,3,46512,All meals
181,Kerala,Calicut,2.2,Without Alcohol,Mavoor Regency,10,3,47629,Breakfast
182,Kerala,Calicut,4.5,Without Alcohol,Park Residency,20,3,64482,All meals
183,Kerala,Calicut,5,Without Alcohol,Park Residency   Kuttiyadi  A unit of Flair Hotels and Resorts Pvt  Ltd,16,3,68571,Dinner
184,Kerala,Calicut,2.2,Without Alcohol,Prinz Residency,17,3,53478,Lunch
185,Kerala,Calicut,4.4,Without Alcohol,The North Park,18,3,69238,Breakfast
186,Kerala,Chalakudy,3.2,Without Alcohol,Hotel Harshavardhana Inn,15,3,72129,All meals
187,Kerala,Chalakudy,2,Without Alcohol,Hotel Rachana Continental  A unit of Hotel Rachana Continental Pvt Ltd  ,14,3,43628,Lunch
188,Kerala,Changanassery,2.972461752,Without Alcohol,Hotel Panchavady,12,3,49374,Breakfast
189,Kerala,Changanassery,2.972461752,Without Alcohol,Hotel Breezeland  A unit of Breezeland Hotels Ltd ,18,3,58327,Dinner
190,Kerala,Changanassery,2.972461752,Without Alcohol,HOTEL VANI,16,3,52943,All meals
191,Kerala,Chengannur,1,Without Alcohol,NAVARATNA TOURIST HOME,10,3,39217,Breakfast
192,Kerala,CHERAI,4.4,Without Alcohol,Cherai beach resorts,25,3,73832,Dinner
193,Kerala,Cherthala,3.4,Without Alcohol,Hotel Aroor Residency ,17,3,74592,All meals
194,Kerala,Cherthala,1.6,Without Alcohol,Hotel Envees,10,3,36892,Lunch
195,Kerala,Cherthala,3.5,Without Alcohol,Keerthi Palace Restaurant,10,3,55832,Breakfast
196,Kerala,Ernakulam,2.4,Without Alcohol,Amruthu Residency,13,3,63482,Dinner
197,Kerala,Ernakulam,4,Without Alcohol,Arpitha Tourist Home,10,3,54192,All meals
198,Kerala,Ernakulam,3,Without Alcohol,Aruna Tourist Home,10,3,67318,Breakfast
199,Kerala,Ernakulam,1.1,Without Alcohol,ARYA INTERNATIONAL,15,3,72931,Lunch
200,Kerala,Ernakulam,2.3,Without Alcohol,ATSWILLINGDON HOTEL,19,3,65892,All meals
201,Kerala,Ernakulam,2.4,Without Alcohol,Cochin Seaport Hotel,25,3,70394,Dinner
202,Kerala,Ernakulam,1,Without Alcohol,Diana Tourist Home,10,3,68427,Breakfast
203,Kerala,Ernakulam,4.4,Without Alcohol,ELOOR TOURIST HOME,15,3,64931,All meals
204,Kerala,Ernakulam,3.4,Without Alcohol,Gopika Regency,20,3,67192,Lunch
205,Kerala,Ernakulam,1.6,Without Alcohol,HAMILTON RESIDENCY  A UNIT OF HOTEL HAMILTON RESIDENCY PVT LTD ,10,3,61827,Breakfast
206,Kerala,Ernakulam,3.5,Without Alcohol,Hotel Amruthu,10,3,46783,Dinner
207,Kerala,Ernakulam,2.4,Without Alcohol,Hotel Chandni Park  Hind Resorts and Services Pvt Ltd  ,11,3,50812,All meals
208,Kerala,Ernakulam,4,Without Alcohol,HOTEL EDASSERY MANSION,32,3,70572,Breakfast
209,Kerala,Ernakulam,3,Without Alcohol,Hotel Elegance  A unit of Perumbavoor Hotels and Resorts Pvt  Ltd  ,12,3,61284,Lunch
210,Kerala,Ernakulam,1.1,Without Alcohol,Hotel Geo,10,3,47839,Dinner
211,Kerala,Ernakulam,2.3,Without Alcohol,HOTEL GREEN PALACE,11,3,58971,All meals
212,Kerala,Ernakulam,2.4,Without Alcohol,Hotel Hill Palace  South Asia Hotels Ltd ,32,3,42736,Breakfast
213,Kerala,Ernakulam,2.4,Without Alcohol,Hotel Kadambari Regency  A unit of Hotel Kadambari Regency Private Limited,11,3,51731,Dinner
214,Kerala,Ernakulam,3.1,Without Alcohol,HOTEL KEERTHY,10,3,71428,All meals
215,Kerala,Ernakulam,2.6,Without Alcohol,HOTEL KOTTARAM ,11,3,71312,Lunch
216,Kerala,Ernakulam,1.4,Without Alcohol,HOTEL NAYANA,10,3,73819,Breakfast
217,Kerala,Ernakulam,4.9,Without Alcohol,Hotel Olive Eva,44,3,53894,Dinner
218,Kerala,Ernakulam,1.9,Without Alcohol,HOTEL PALACE INN,12,3,62549,All meals
219,Kerala,Ernakulam,2.9,Without Alcohol,Hotel Panoramic,10,3,72895,Lunch
220,Kerala,Ernakulam,3.7,Without Alcohol,Hotel Saj International,14,3,52821,Breakfast
221,Kerala,Ernakulam,3.5,Without Alcohol,HOTEL SEA GATE,10,3,66421,Dinner
222,Kerala,Ernakulam,3.1,Without Alcohol,Hotel Zodiac,10,3,64283,All meals
223,Kerala,Ernakulam,4.1,Without Alcohol,Jawahar Tourist Home,11,3,75000,Breakfast
224,Kerala,Ernakulam,3.1,Without Alcohol,KATHRIKADAVU TOURIST HOME  HOTEL SEA PEARL  ,10,3,48362,Lunch
225,Kerala,Ernakulam,4.6,Without Alcohol,KIZHAKKAMBALAM TOURIST HOME,15,3,59821,All meals
226,Kerala,Ernakulam,4,Without Alcohol,LOVEDONS GARDEN,10,3,64317,Dinner
227,Kerala,Ernakulam,2.2,Without Alcohol,MAHARANI HOLIDAY HOME,10,3,45937,Breakfast
228,Kerala,Ernakulam,4.5,Without Alcohol,Maria International,17,3,56291,All meals
229,Kerala,Ernakulam,5,Without Alcohol,Niko Hotels  A Unit of Hikari Hotels Pvt  Ltd  ,27,3,49362,Lunch
230,Kerala,Ernakulam,2.2,Without Alcohol,Park Central  A unit of Hotel Siena Central Private Limited ,17,3,73831,Breakfast
231,Kerala,Ernakulam,4.4,Without Alcohol,Park Residency,15,3,74572,Dinner
232,Kerala,Ernakulam,3.2,Without Alcohol,Polakulath Regency ,10,3,71892,All meals
233,Kerala,Ernakulam,2,Without Alcohol,POLAKULATH TOURIST HOME,12,3,69127,Breakfast
234,Kerala,Ernakulam,2.972461752,Without Alcohol,Polakulath Tourist Home ,14,3,63729,Lunch
235,Kerala,Ernakulam,4,Without Alcohol,Prayana Hotels,24,3,68582,Dinner
236,Kerala,Ernakulam,3,Without Alcohol,Rock Rose Tourist Home  A unit of Rock Rose Tourist Home  P  Ltd ,11,3,44832,All meals
237,Kerala,Ernakulam,1.1,Without Alcohol,Rose Residency,36,3,61983,Breakfast
238,Kerala,Ernakulam,2.3,Without Alcohol,SONIA TOURIST HOME,14,3,75000,Dinner
239,Kerala,Ernakulam,2.4,Without Alcohol,Sreevalsam Residency,10,3,70923,All meals
240,Kerala,Ernakulam,4.7,Without Alcohol,XL HOTEL,10,3,58194,Lunch
241,Kerala,Ettumanoor,4.1,Without Alcohol,Hotel Sreelakshmi Park,11,3,66921,Breakfast
242,Kerala,Guruvayoor,2.4,Without Alcohol,Hotel Amaravathi ,10,3,59382,All meals
243,Kerala,Idukki,3.1,Without Alcohol,AMBADY TOURIST HOME,10,3,65418,Lunch
244,Kerala,Idukki,2.6,Without Alcohol,CHANDANA TOURIST HOME,25,3,53293,Breakfast
245,Kerala,Idukki,1.4,Without Alcohol,DHANYA TOURIST HOME ,16,3,45839,Dinner
246,Kerala,Idukki,4.9,Without Alcohol,HOTEL GREEN OASIS,18,3,49172,All meals
