State,City,Ratings,Alcohol Availability,Hotel Name,Address,Total Rooms,,Category,Pricing,Meals
Gujarat,Surat,4,Without Alcohol,GEN X  SURAT  A UNIT OF KADODARA HOTELS ,415  4TH FLOOR  CHHATRALA CITY CENTER  NATIONAL HIGHWAY  08  NEAR KADODARA CHAR RASTA  AT   POST  UMBHEL  TAL  KAMREJ  SURAT 394325 Surat Surat Surat,49,,1 Star,9674,Breakfast
Gujarat,Vadodara,3.4,Without Alcohol,HOTEL APPLE GRAND ,SURVEY NO 564 AND 565 N H 08 VILLAGE   TARASALI VADODRA BY PASS,42,,1 Star,8956,All meals
Gujarat,Vadodara,1.2,Without Alcohol,VADPADRAKA HOTEL   RESORT,VADPADRAKA HOTEL   RESORT  SURVEY NO 58 B  PAIKI  BETWEEN SUMANDEEP AND PARUL UNIVERSITY  OPPOSITE VNS HOSTEL AT DATTAPURA  P O  LIMDA 391760  GUJARAT,18,,1 Star,13542,Dinner
Gujarat,Veraval,3,Without Alcohol,The Divine Water World,Junagadh Somnath Highway  Near Dari Toll Plaza  Opp  Over Bridge  Village Dari,23,,1 Star,10321,All meals
Madhya Pradesh,Dhar,4.1,Without Alcohol,HOTEL JAHAJMAHAL,MANDU  MADHYA PRADESH,25,,1 Star,8345,Breakfast
Maharashtra,Lonavala,2.3,Without Alcohol,HOTEL MANIK MOTI,GAT NO 164 KURAVANDE VILLAGE  INS SHIVAJI ROAD  LONAVLA   TAL MAVAL DIST PUNE ,19,,1 Star,13987,Lunch
Andaman And Nicobar,Port Blair ,4.3,Without Alcohol,HOTEL SHREESH,LINK ROAD  GOAL GHAR  PORT BLAIR  ANDAMAN   NICOBAR ISLAND Port Blair ,38,,2 Star,18742,Dinner
Assam,Dibrugarh,2.3,Without Alcohol,COMFORT HOTEL,ROTARY ROAD  DIBRUGARH  ASSAM 786001 ,26,,2 Star,22563,Lunch
Assam,Dibrugarh,3,Without Alcohol,Hotel Sanjivani Heritage,Nirmali Gaon  Opposite City College  PO  C R Building,28,,2 Star,25891,Breakfast
Assam,Guwahati,2.1,Without Alcohol,HOTEL NEZONE   A UNIT OF NEZONE GLASS PVT  LTD ,N H 37  GARCHUK  NEAR DY 365 NEWS CHANNEL  GUWAHATI  781035,28,,2 Star,26874,Dinner
Gujarat,Dwarka,3.6,Without Alcohol,Cygnett Inn Dwarka  Unit of Om Enterprise ,Near Sai Baba Mandir,48,,2 Star,21345,All meals
Gujarat,Gandhidham,2.9,Without Alcohol,RAJVI HOTELS,plot no A 1  Community Centre  Road No 43  Mangolpuri Industrial Area Phase   2  Pitampura New Delhi,40,,2 Star,17982,Breakfast
Gujarat,Gandhidham,3,Without Alcohol,The Neemaya Hotel  A Unit of Hotel Natraj ,Plot No 50  Sector 9  Opp  S T Bus Stand Gandhidham,51,,2 Star,20217,All meals
Gujarat,Gandhinagar,4,Without Alcohol,Hotel The Hillock  A unit of HOTEL HILLOCK PRIVATE LIMITED ,HOTEL HILLOCK  S P RING ROAD BETWEEN VAISJHNODEVI CIRCLE   ZUNDAL CIRCLE  ZUNDAL Gandhinagar,49,,2 Star,27493,Breakfast
Gujarat,Jamnagar,3,Without Alcohol,Raaj Svasti Inn  Unit of Raaj Enventure Private Limited,Plot No  2   3  R S No 64 1  Near A J Engineering  Jamnagar   Khambhaliya Road  Village Sapar,48,,2 Star,19625,Dinner
Gujarat,Kevadiya,1.1,Without Alcohol,BRG BUDGET STAY  A unit of Anay Associates ,BRG BUDGET STAY NR AAROGYA VAN BHUMALIYA ROAD KEVADIA COLONY DIST NARMADA GUJARAT INDIA,139,,2 Star,28109,Lunch
Gujarat,Morabi,2.3,Without Alcohol,Club 36  Unit of Vrunda Entertainment LLP,Rajkot   Morbi Highway  Behind Jog Ashram  Lajai,10,,2 Star,23456,All meals
Gujarat,Morvi,2.4,Without Alcohol,Shiv Hotel,Opp  Shiv Petroleum  Morbi   Halvad Highway  Nichi Mandal,21,,2 Star,24875,Lunch
Gujarat,Navsari,4.7,Without Alcohol,HARE KRISHNA HOTEL,Block no 568 2 Block no  573 Village Padgha national highway no  08 nr Veshma Chokdi Navsari 396445 Gujarat,15,,2 Star,18567,Breakfast
Gujarat,Porbandar,4.1,Without Alcohol,HOTEL BALAJI PALACE,3 WADI POT MG ROAD KAMALA BAUG porbandar 360575,20,,2 Star,19872,Dinner
Gujarat,Saurashtra,1.3,Without Alcohol,Rann Riders,Sh 18  Surendranagar  Dasada,29,,2 Star,16854,Breakfast
Gujarat,Vadodara,2.2,Without Alcohol,EFFOTEL BY SAYAJI,EFFOTEL BY SAYAJI  OPPOSITE RAJSHREE CENTER  NEAR KALAGHODA CIRCLE SAYAJIGUNJ  VADODARA   390 005,83,,2 Star,29234,All meals
Himachal Pradesh,Manali,3.6,Without Alcohol,HOTEL VALLEY OF GODS,VILLAGE   P O VASHISHT  TEHSIL  MANALI DISTT  KULLU  H P ,15,,2 Star,25309,All meals
Kerala,Thiruvananthapuram,3.7,Without Alcohol,Hotel Marine Palace ,Beach Road   Hawah Beach  Kovalam P O   Thiruvananthapuram Dist   Kerala   Pin 695527,20,,2 Star,27456,Lunch
Kerala,Thiruvananthapuram,4.6,Without Alcohol,JEEVAN AYURVEDIC BEACH RESORT,LIGHT HOUSE BEACH  KOVALAM  VIZHINJAM P O,14,,2 Star,29845,Breakfast
Maharashtra,Kollhapur,1,Without Alcohol,Hotel Vrishali Executive  A unit of Vrishali Hotels Pvt  Ltd  ,39 A 2  TARABAI PARK Kollhapur,84,,2 Star,22763,Dinner
Maharashtra,SANTACURZ,4.4,Without Alcohol,HOTEL AIRLINK,75 OFF NEHRU ROAD NEAR SANTACRUZ AIRPORT  VILE PARLE EAST   MUMBAI 400099 ,39,,2 Star,26981,Lunch
Odisha,Sambalpur,3.4,Without Alcohol,Welcome Spa and Resort,At Po  Majhilali  PS  Sasan  Sambalpur,41,,2 Star,17392,All meals
Rajasthan,Alwar,1.6,Without Alcohol,SPARROW INN  A Unit of Alwar Hospitality Pvt  Ltd  ,MANU MARG  ALWAR Alwar,19,,2 Star,29576,Lunch
Andhra Pradesh,East Godavari,3.5,Without Alcohol,HOTEL SHELTON RAJAMAHENDRI,87 1 19B  AYYAPPA NAGAR  NEAR APSRTC COMPLEX ROAD  RAJAHMUNDRY ,97,,3 Star,43027,All meals
Andhra Pradesh,Kakinada,2.4,Without Alcohol,Royal Park Sri Adilakshmi Property Developers Pvt  Ltd  ,Royal Park  Sri Adilakshmi Property Developers Pvt  Ltd   D No   19 1 107  Kosurivari Street  Kakinada 533001  East Godavari  Andhra Pradesh ,84,,3 Star,63482,Breakfast
Andhra Pradesh,Kurnool,4,Without Alcohol,Triguna Clarks Inn,Adjacent to bus stand  Kallur Road,49,,3 Star,35931,Dinner
Andhra Pradesh,Nellore,3,Without Alcohol,MINERVA GRAND   NELLORE,MINERVA GRAND   A UNIT OF SECUNDERABAD HOTELS PVT LTD  24 2 474 1  DARGAMITTA  G T ROAD  NELLORE  ANDHRA PRADESH   524 003 Nellore,106,,3 Star,41567,Dinner
Andhra Pradesh,Rajahmundry,1.1,Without Alcohol,La Hospin Hotel Rajahmundry  A unit of La Hospin Hotels and Resorts Private Limited ,NEAR PUSHKARGHAT  RAJAHMUNDRY Rajahmundry Rajahmundry,69,,3 Star,68394,All meals
Andhra Pradesh,Rajam,2.3,Without Alcohol,River Bay Resort,D No 5 1 36  River Bay Road  Near ISKCON Temple  Gautama Ghat  Rajamahendravaram,68,,3 Star,57812,Breakfast
Andhra Pradesh,Tirupati,2.4,Without Alcohol,BHIMAS RESIDENCY HOTEL  A UNIT OF BHIMAS RESIDENCY HOTELS PRIVATE LIMITED ,19 3 41  NEAR RAILWAY OVER BRIDGE  RENIGUNTA ROAD  TIRUPATI Tirupati Tirupati Tirupati,48,,3 Star,72894,Lunch
Andhra Pradesh,Tirupati,4.7,Without Alcohol,FORTUNE KENCES HOTEL,OPP  APS RTC BUS TERMINAL  TIRUPATI,126,,3 Star,31754,Breakfast
Andhra Pradesh,Tirupati,4.1,Without Alcohol,Hotel Bliss,Door No 19 3 45  Ramanuja Circle Renigunta Road Tirupati Tirupati,92,,3 Star,44983,Dinner
Andhra Pradesh,Tirupati,1.3,Without Alcohol,Minerva Grand Tirupati,19 3 39  Renigunta Road  Nr Rly Flyover Bridge  Tirupati,69,,3 Star,65287,All meals
Andhra Pradesh,Vijayawada,4.6,Without Alcohol,HOTEL AJANTHA EVERGREEN,D  NO  29 13 15  KALESHWAR RAO STREET  NAKKAL ROAD,36,,3 Star,49105,All meals
Andhra Pradesh,Vijayawada,3,Without Alcohol,Hotel Manorama A Unit of Welcome Poorna Enterprises Private Limited ,27 37 157 M G Road Governor Pet ,70,,3 Star,71456,Breakfast
Andhra Pradesh,Vijayawada,5,Without Alcohol,HOTEL MIDCITY,A Unit of Sri Venkateswara Theatre  38 8 45  M G Road  Punnammathota  Opp All India Radio Station  ,44,,3 Star,38276,All meals
Andhra Pradesh,Vijayawada,4,Without Alcohol,THE KAY HOTEL,48 12 4 1 GUNADALA VIJAYAWADA ,40,,3 Star,53621,Dinner
Andhra Pradesh,Visakhapatnam,2.2,Without Alcohol,BEST WESTERN RAMACHANDRA,8 8 36 Main Road  Old Gajuwaka,64,,3 Star,33927,Breakfast
Andhra Pradesh,Visakhapatnam,4.5,Without Alcohol,FAIRFIELD BY MARRIOTT,K S R DEVELOPERS PVT LTD  SURVEY NO 106 1B2 PART  WARD NO 39 MADHAVDHARA NEAR R B JUNCTION NH 5ROAD  VISAKHAPATNAM 530018,121,,3 Star,58402,Lunch
Arunachal Pradesh,Itanagar,5,Without Alcohol,Cygnett Inn Trendz,Chandra Nagar  Nrae DC Capital Complex Itanagar,32,,3 Star,62347,All meals
Arunachal Pradesh,Itanagar,2.2,Without Alcohol,Waii International Hotel,Mesueme Colony  Near State Meuseum  Itanagar Papum Pare District ,50,,3 Star,36821,Dinner
Arunachal Pradesh,West Kameng,4.4,Without Alcohol,NORPHEL RETREAT DIRANG,Rungkhung Dirang  West Kameng District 790101 West Kameng,45,,3 Star,74291,Breakfast
Assam,Dibrugarh,3.2,Without Alcohol,Hotel Rainbow ,T R Phukan Road  West chowkidinghee  Dibrugarh Dibrugarh,25,,3 Star,55309,Lunch
Assam,Dibrugarh,2,Without Alcohol,PUSHKARA GARDEN,Natun Gaon  Dibrugarh,60,,3 Star,47865,All meals
Assam,Guwahati,4.7,Without Alcohol,DICHANG RESORT,Sonapur  Pathorkuchi  N H 37,57,,3 Star,66935,All meals
Assam,Guwahati,5,Without Alcohol,HOTEL CITYWALK INTERNATIONAL,B BAROOAH ROAD  ULUBARI  GUWAHATI,41,,3 Star,69142,Lunch
Assam,Guwahati,2.4,Without Alcohol,Hotel Paramount Palacio,Opp Farm Gate  Above Poddar Car World  G S  Road  Khanapara  Guwahati Guwahati,25,,3 Star,32891,Breakfast
Assam,Guwahati,3.1,Without Alcohol,Mayflower Hotel  A Unit of Mayflower Hotels and Resorts LLP ,MLN ROAD PANBAZAR Guwahati,36,,3 Star,47543,Dinner
Assam,Guwahati,2.6,Without Alcohol,The Lily Hotel,G S  ROAD  SIX MILE   KHANAPARA  GUWAHATI,78,,3 Star,54892,All meals
Assam,Jorhat,1.4,Without Alcohol,Gulmohar Grand  an Unit of Borthakur Developers ,Choladhara Road  Jorhat 785001  Assam,26,,3 Star,34678,Dinner
Assam,Kokrajhar,4.9,Without Alcohol,HOTEL GAURANG VALLEY,J D  ROAD  TENGAPARA  WARD NO  5  KOKRAJHAR,62,,3 Star,70928,Breakfast
Assam,Mangaldoi,1.9,Without Alcohol,Repose Highway Resort  A unit of Repose Highway Resort Private Limited ,Vill Boinaojha  Aulachowka  P O    P S  Magnaldoi  Discrict   Darrang Mangaldoi,20,,3 Star,73481,All meals
Assam,Nagaon,2.9,Without Alcohol,HOTEL BLUE BIRD,MADHAB DEV ROAD  NORTH HAIBARGAON,22,,3 Star,48302,Lunch
Bihar,Bodhgaya,3.7,Without Alcohol,Oaks Bodhgaya  A unit of Bodhi Hotel and Resorts Pvt  Ltd  ,Khata No  141  Plot No  80 and Khata No  778  Plot No  97  P S    Bodhgaya  Thana No  359  District   Gaya  Bihar Bodhgaya,78,,3 Star,73795,Breakfast
Chhattisgarh,Bilaspur,3.5,Without Alcohol,COURTYARD BY MARRIOTT BILASPUR ,COURTYARD BY MARRIOTT BILASPUR City Mall 36  Mangla Chowk  Bilaspur     495001,100,,3 Star,56418,All meals
Chhattisgarh,Bilaspur,3.1,Without Alcohol,Hotel Intercity International,Jagmal Chowk,39,,3 Star,75000,Dinner
Chhattisgarh,Bilaspur,4.1,Without Alcohol,THE EMERALD,NEAR OLD BUS STAND TELEPHONE EXCHANGE ROAD ,22,,3 Star,42967,Lunch
Chhattisgarh,Durg Bhilai Nagar,3.1,Without Alcohol,Hotel Ashish International,G E Road  Power House,17,,3 Star,34529,Breakfast
Chhattisgarh,Durg Bhilai Nagar,4.6,Without Alcohol,Hotel Grand Dhillon,A 1 Nehru Parisar   Nehru Nagar Square GE Road Bhilai ,39,,3 Star,52713,All meals
Chhattisgarh,Korba,2.972461752,Without Alcohol,hotel relax inn,korba champa road urga,42,,3 Star,64820,Dinner
Chhattisgarh,Raigarh,2.972461752,Without Alcohol,Hotel Accordd Premier  ACCORDD Chain of Hotels ,Hotel Accordd Premier Jagatpur Dhimrapur Road Raigarh Raigarh,35,,3 Star,61304,Lunch
Chhattisgarh,Raigarh,2.972461752,Without Alcohol,Hotel Ans International,Jagatpur   Dhimrapur Road  Raigarh  Chattisgarh Raigarh Raigarh,71,,3 Star,46287,Breakfast
Chhattisgarh,Raipur ,2.972461752,Without Alcohol,GREENWOOD FOURSEASONS ,GREENWOOD FOURSEASONS  VIP ROAD  PURENA  ,15,,3 Star,51209,All meals
Chhattisgarh,Raipur ,4,Without Alcohol,HOTEL GAGAN REGENCY,OPP  GATE NO  1  AIIMS  G  E  ROAD  TATIBANDH  RAIPUR  C G   PIN 492001 ,26,,3 Star,70563,Lunch
Chhattisgarh,Raipur ,3,Without Alcohol,HOTEL IVY,PRIYADARSHINI NAGAR  NEAR PACHPEDI NAKA,38,,3 Star,61092,Breakfast
Chhattisgarh,Raipur ,1.1,Without Alcohol,HOTEL KINGSWAY,RING ROAD NO  1 NEAR AIRTEL OFFICE TELIBANDHA RAIPUR ,30,,3 Star,38745,All meals
Chhattisgarh,Raipur ,2.3,Without Alcohol,HOTEL SOLITAIRE   A UNIT OF R R S K ENTERPRISES ,BEHIND STATE BANK OF INDIA MAIN BRANCH ANAND TAKIES ROAD NEAR JAISTAMBH CHOWK RAIPUR  C G  ,48,,3 Star,43926,Dinner
Chhattisgarh,Raipur ,2.4,Without Alcohol,HOTEL THE GOLDEN OAK,J B  MALL NEAR GURUNANAK CHOWK M  G  ROAD  RAIPUR,28,,3 Star,50283,Breakfast
Chhattisgarh,Raipur ,4.7,Without Alcohol,RMV RESORT AND HOTELS PVT LTD,HOTEL VW CANYON  NEAR   AGRASEN DHAM  VIP ROAD   II  PHUNDAHAR  RAIPUR   492006  CHHATTISHGARH,111,,3 Star,41690,Lunch
Chhattisgarh,Rajnandgaon,4.1,Without Alcohol,Hotel Awana,Near New Gurudwara  GE Road  Rajnandgoan Rajnandgaon,15,,3 Star,63172,All meals
Delhi,New Delhi,1.3,Without Alcohol,HOTEL THE MANOR,77 FREINDS COLONY  W  NEW DELHI  110065,12,,3 Star,37840,Dinner
Goa,Margao,3,Without Alcohol,Hotel Nanutel Margao,Padre Miranda Road,55,,3 Star,66821,Breakfast
Goa,vasco da gama,5,Without Alcohol,Hotel La Paz Gardens  A unit of Hotel La Paz Gardens Pvt  Ltd  ,Swatantra Path  Vasco da Gama vasco da gama vasco da gama,73,,3 Star,67439,All meals
Gujarat,Ahmedabad,4,Without Alcohol,Aarya Grand Hotels Resorts,Kargil Petrol Pump Lane  Near Gujarat High Court  Sarkhej   Gandhinagar Highway,105,,3 Star,40512,Lunch
Gujarat,Ahmedabad,2.2,Without Alcohol,AJU IMPERIAL HOTEL  A UNIT OF AJU RYOKAN NCR PVT LTD  ,Survey No  414  Village Jalisana  Jalisana to Nayakpur Road Taluka  Mandal  Distt  Ahmedabad  Gujarat 382120,107,,3 Star,54309,Breakfast
Gujarat,Ahmedabad,4.5,Without Alcohol,AVALON HOTEL AND BANQUETS,OPP MANGO GARDEN BUNGLOWS  NEAR SINDHU BHAVAN ROAD OFF S G  HIGHWAY BODAKDEV,46,,3 Star,67918,All meals
Gujarat,Ahmedabad,5,Without Alcohol,Belvedere Club  A unit of BELVEDERE GOLF AND COUNTRY CLUB PVT LTD,ADANI SHANTIGRAM  S G HIGHWAY  NEAR VAISHNODEVI CIRCLE Ahmedabad,55,,3 Star,60287,Dinner
Gujarat,Ahmedabad,2.2,Without Alcohol,Bloom Suites  A unit of Ms Rising Hotel Limited ,Surdhara Circle  Off Drive In Road  Thaltej  Ahmedabad Ahmedabad,68,,3 Star,62850,Breakfast
Gujarat,Ahmedabad,4.4,Without Alcohol,Comfort Inn President  A unit of Sun N Silver Inn Pvt  Ltd ,OPP MUNICIPAL MARKET  OFF C G ROAD  NAVRANGPURA  AHMEDABAD Ahmedabad,57,,3 Star,69730,Lunch
Gujarat,Ahmedabad,3.2,Without Alcohol,COMFORT INN SUNSET,AIRPORT CIRCLE HANSOL AHMEDABAD,57,,3 Star,57182,All meals
Gujarat,Ahmedabad,2,Without Alcohol,HOTEL CENTRA,KHANPUR  AHMEDABAD 380001,37,,3 Star,58392,Dinner
Gujarat,Ahmedabad,2.972461752,Without Alcohol,HOTEL NALANDA,MITHAKHALI SIX ROADS  NEAR LIONS HALL  ELLISBRIDGE  AHMEDABAD   380 006,43,,3 Star,72418,All meals
Gujarat,Ahmedabad,1,Without Alcohol,Hotel Silvera Grand,Unit of Silvera Hotels  Dehgam Circle  S P Ring Road  Hanspura  Village Bilasiya,21,,3 Star,69592,Breakfast
Gujarat,Ahmedabad,4.4,Without Alcohol,Palm Greens Club  Unit of Snesh Resorts Private Limited,NH No 8  Bareja   Kheda Highway  Village Goblaj  Near Bareja Ahmedabad,62,,3 Star,32798,Lunch
Gujarat,Ahmedabad,3.4,Without Alcohol,Regenta Central Antarim ,A Unit of Antarim Hotel LLP  Between Girish Cold Drink   St Xaviers Corner  C G Road  Navrangpura Ahmedabad,73,,3 Star,64291,All meals
Gujarat,Ahmedabad,1.6,Without Alcohol,Regenta Inn   Ranip,Arved Transcube Plaza  Opp Adi Jati Girls Hostel  132 Ft Ring Road  Ranip Ahmedabad,102,,3 Star,59345,Breakfast
Gujarat,Ahmedabad,3.5,Without Alcohol,TGB EXPRESS HOTEL  A UNIT OF HOTEL PALMLAKE  KANKARIA  PVT  LTD ,TGB EXPRESS HOTEL  NR  JALDHARA WATER PARK  KANKARIA GATE 5  MANINAGAR Ahmedabad Ahmedabad Ahmedabad,33,,3 Star,50938,Dinner
Gujarat,Anand,2.4,Without Alcohol,Humming Bird Hotel and Banquet,Behind Architect College  Near University Library  Iscon Temple Road  V V  Nagar  Anand,38,,3 Star,73129,All meals
Gujarat,Anand,4,Without Alcohol,LA CASA INN ,UNIT OF SHREE A   A COMPANY,44,,3 Star,70382,Lunch
Gujarat,Bharuch,3,Without Alcohol,Regenta Central Harimangla,Near ABC Cir  Old N H  8  Bholav  Bharuch  Gujarat 392015,104,,3 Star,37892,Breakfast
Gujarat,Bharuch,1.1,Without Alcohol,Regenta Central Hestia Dahej,SURVEY NO 106  VILLAGE  BHENSALI  TALUKA  VAGRA ,69,,3 Star,35829,All meals
Gujarat,Bharuch,2.3,Without Alcohol,VEDIK RESORT,SURVEY NO 45  OLPAD SAHOL ROAD  VILLAGE SAHOL  BHARUCH GUJARAT 394810,129,,3 Star,69421,Dinner
Gujarat,Bhavnagar,2.4,Without Alcohol,Top3 Lords Resort  A unit of Tree Top Resorts Spa Pvt  Ltd  ,Plot No 1   2  Near BPCL Petrol Pump  Budhel     Vartej Cross Road   Bhavnagar   Gujarat  364002,39,,3 Star,44512,Lunch
Gujarat,Bhavnagar,2.972461752,Without Alcohol,VIRGO SUMERU,PLOT NO  109 A BESIDE STERLING POINT WAGHAWADI ROAD Bhavnagar,33,,3 Star,47923,All meals
Gujarat,Bhuj,4,Without Alcohol,HOTEL COMFORT INN PRINCE ,STATION ROAD Bhuj,44,,3 Star,66123,Breakfast
Gujarat,Bhuj,3,Without Alcohol,HOTEL ILARK,Nr RAVI CINEMA STATION ROAD,29,,3 Star,52317,All meals
Gujarat,Bhuj,1.1,Without Alcohol,HOTEL SEVEN SKY,SEVEN SKY ENTERTAINMENT PVT LTD  AIRPORT ROAD  BHUJ   KUTCHH  PIN 370001  GUJARAT,82,,3 Star,41937,Breakfast
Gujarat,Bhuj,2.3,Without Alcohol,LaKamp Resort  Unit of Kashish Resort ,Survey No 116 1  Near Rudra Mata Temple  Village Saraspar  Taluka Bhuj  Dist  Kutch 370001  Bhuj Bhuj,29,,3 Star,53629,Lunch
Gujarat,Bhuj,2.4,Without Alcohol,The Fern Residency Bhuj  A unit of Ms THE BESIL INN ,Bhuj Anjar Highway Near Tulsi Hotel Madhavpar Bhuj,46,,3 Star,63715,Dinner
Gujarat,Dang,4.7,Without Alcohol,Sunotel,Sunotel Unit of Shriji Resort Hotels Pvt  Ltd  Opp Lake Garden  Nageshwar Mahadev Temple Road  Saputara,90,,3 Star,34589,All meals
Gujarat,Dwarka,4.1,Without Alcohol,Bapu   s Resort  Unit of Bapu Enterprise ,S NO 389P1  NH 8E Village Vachhu  Dwarka  Dwarka Dwarka ,52,,3 Star,45892,Breakfast
Gujarat,Jamnagar,1.3,Without Alcohol,Highway Hari,Jamnagar Dwarka Highway  Near Vasai Toll booth  Ravalsar Patiya  ,19,,3 Star,75000,Dinner
Gujarat,Kutch,3,Without Alcohol,ambar sarovar portico,plot no 100 sector 8 near oslo circle Gandhidham Kutch Gujarat Pin 370201,58,,3 Star,71942,All meals
Gujarat,Mahesana,5,Without Alcohol,HOTEL SHIVALIK,Nugar Bypass Highway Iskon Circle Opp Essar Petrol Pump  Nugar Mehsana,30,,3 Star,48673,Lunch
Gujarat,Morabi,4,Without Alcohol,Sarovar Portico  Unit of Specific Ceramic Hotel,Iskon Tiles Zone  8 A National Highway  Rafaleshwar,59,,3 Star,74295,Breakfast
Gujarat,Morbi,2.2,Without Alcohol,Khajoora Hotel n Resort,Rajkot   Morbi HIghway  Tankara,40,,3 Star,70281,All meals
Gujarat,Morvi,4.5,Without Alcohol,DARIYALAL HOTEL ,Survey no  66 paiki 1  66 paiki 2 and 68 paiki 2  Village  Jambudiya  Taluka  Morbi  District  Morbi 363642,18,,3 Star,72539,Dinner
Gujarat,Morvi,5,Without Alcohol,HOTEL THE GRAND VAIBHAV,LAKHDHIRPUR ROAD  N H  8A  MORBI   363642,35,,3 Star,38764,All meals
Gujarat,Morvi,2.2,Without Alcohol,Lords Eco Inn unit of Hotel Seven Paradise,Pipli Jetpar Road  Seven Cera Mall  Village Bela  Morbi,40,,3 Star,55238,Lunch
Gujarat,Morvi,4.4,Without Alcohol,OAK TREE,SURVEY NO 22 JAMBUDIYA N H NO 27 A MORBI 363641 ,52,,3 Star,46289,Breakfast
Gujarat,Morvi,3.2,Without Alcohol,Regenta Inn Unit of Hotel The Grand Dharmendra,Near HDFC Bank opp  shakti Chamber 8 a Natioanl highway lalpar Road Morvi,54,,3 Star,62134,All meals
Gujarat,Porbandar,2.4,Without Alcohol,LORDS ECO INN,Chowpati Road  Near Circuit House ,29,,3 Star,74315,Dinner
Gujarat,Porbandar,3.1,Without Alcohol,Lords Eco Inn   A Unit of Delite Enterprise   ,Near Circuit House   Chopati Road   Porbandar ,29,,3 Star,54312,Breakfast
Gujarat,Rajkot,2.6,Without Alcohol,AARYARAJ CLUB AND RESORTS,Opposite Gardi Vidyapith  Kallavad Road Chappra Rajkot 361162 Rajkot Rajkot,28,,3 Star,65317,All meals
Gujarat,Rajkot,1.4,Without Alcohol,Hotel Comfort INN Legacy  Prop  S Kumar Associates Private Limited ,Limada Chowk  Near Lalbahadur Shastri Maidan  Panchnath Road ,37,,3 Star,57293,Lunch
Gujarat,Rajkot,4.9,Without Alcohol,Hotel KK Beacon  A Unit of Hotel K K   India  Private Limited ,The KK Circle  Kalawad Main Road  Rajkot Rajkot Rajkot Rajkot,34,,3 Star,72367,Breakfast
Gujarat,Rajkot,1.9,Without Alcohol,Krishna Park Resort  A unit of Messrs Hotel Krishna Park Nursary ,Krishna Park Circle  Gondal Road  Vavdi  Rajkot Rajkot,29,,3 Star,39251,Dinner
Gujarat,Rajkot,2.9,Without Alcohol,marasa sarovar portico rajkot ,dr  rajendra prasad road  limda chowk  opposite shastri maidan rajkot ,68,,3 Star,66821,All meals
Gujarat,Rajkot,3.7,Without Alcohol,Phoenix Hospitality,Kalawad Road  Ishwariya Road Corner  Rajkot   Gujarat,24,,3 Star,41536,Lunch
Gujarat,Rajkot,3.5,Without Alcohol,REGENCY LAGOON RESORT,NYARI DAM ROAD  OFF  KALAWAD ROAD  RAJKOT,120,,3 Star,62731,Breakfast
Gujarat,Rajkot,3.1,Without Alcohol,Regenta Central Rajkot  Unit of P P Developers ,Everest Park  Kalawad Road,92,,3 Star,74678,Dinner
Gujarat,Sanand,4.1,Without Alcohol,Ginger Sanand,NH 8A  Mahalaxmi Industrial Estate  Village Iyava  Sanand Viramgam Highway  Ahead Essar petrol pump  Opp Hanuman Mandir  Sanand,104,,3 Star,72491,All meals
