Hotel_id,State,City,Ratings,Alcohol_Availability,Hotel_Name,Address,Total_Rooms,Category,Pricing,Meals
12,Gujarat,Vadodara,3.4,Without Alcohol,HOTEL APPLE GRAND ,SURVEY NO 564 AND 565 N H 08 VILLAGE   TARASALI VADODRA BY PASS,42,1 Star,8956,All meals
13,Gujarat,Vadodara,1.2,Without Alcohol,VADPADRAKA HOTEL   RESORT,VADPADRAKA HOTEL   RESORT  SURVEY NO 58 B  PAIKI  BETWEEN SUMANDEEP AND PARUL UNIVERSITY  OPPOSITE VNS HOSTEL AT DATTAPURA  P O  LIMDA 391760  GUJARAT,18,1 Star,13542,Dinner
14,Gujarat,Veraval,3,Without Alcohol,The Divine Water World,Junagadh Somnath Highway  Near Dari Toll Plaza  Opp  Over Bridge  Village Dari,23,1 Star,10321,All meals
15,Madhya Pradesh,Dhar,4.1,Without Alcohol,HOTEL JAHAJMAHAL,MANDU  MADHYA PRADESH,25,1 Star,8345,Breakfast
16,Maharashtra,Lonavala,2.3,Without Alcohol,HOTEL MANIK MOTI,GAT NO 164 KURAVANDE VILLAGE  INS SHIVAJI ROAD  LONAVLA   TAL MAVAL DIST PUNE ,19,1 Star,13987,Lunch
17,Andaman And Nicobar,Port Blair ,4.3,Without Alcohol,HOTEL SHREESH,LINK ROAD  GOAL GHAR  PORT BLAIR  ANDAMAN   NICOBAR ISLAND Port Blair ,38,2 Star,18742,Dinner
18,Assam,Dibrugarh,2.3,Without Alcohol,COMFORT HOTEL,ROTARY ROAD  DIBRUGARH  ASSAM 786001 ,26,2 Star,22563,Lunch
19,Assam,Dibrugarh,3,Without Alcohol,Hotel Sanjivani Heritage,Nirmali Gaon  Opposite City College  PO  C R Building,28,2 Star,25891,Breakfast
20,Assam,Guwahati,2.1,Without Alcohol,HOTEL NEZONE   A UNIT OF NEZONE GLASS PVT  LTD ,N H 37  GARCHUK  NEAR DY 365 NEWS CHANNEL  GUWAHATI  781035,28,2 Star,26874,Dinner
21,Gujarat,Dwarka,3.6,Without Alcohol,Cygnett Inn Dwarka  Unit of Om Enterprise ,Near Sai Baba Mandir,48,2 Star,21345,All meals
22,Gujarat,Gandhidham,2.9,Without Alcohol,RAJVI HOTELS,plot no A 1  Community Centre  Road No 43  Mangolpuri Industrial Area Phase   2  Pitampura New Delhi,40,2 Star,17982,Breakfast
23,Gujarat,Gandhidham,3,Without Alcohol,The Neemaya Hotel  A Unit of Hotel Natraj ,Plot No 50  Sector 9  Opp  S T Bus Stand Gandhidham,51,2 Star,20217,All meals
24,Gujarat,Gandhinagar,4,Without Alcohol,Hotel The Hillock  A unit of HOTEL HILLOCK PRIVATE LIMITED ,HOTEL HILLOCK  S P RING ROAD BETWEEN VAISJHNODEVI CIRCLE   ZUNDAL CIRCLE  ZUNDAL Gandhinagar,49,2 Star,27493,Breakfast
25,Gujarat,Jamnagar,3,Without Alcohol,Raaj Svasti Inn  Unit of Raaj Enventure Private Limited,Plot No  2   3  R S No 64 1  Near A J Engineering  Jamnagar   Khambhaliya Road  Village Sapar,48,2 Star,19625,Dinner
26,Gujarat,Kevadiya,1.1,Without Alcohol,BRG BUDGET STAY  A unit of Anay Associates ,BRG BUDGET STAY NR AAROGYA VAN BHUMALIYA ROAD KEVADIA COLONY DIST NARMADA GUJARAT INDIA,139,2 Star,28109,Lunch
27,Gujarat,Morabi,2.3,Without Alcohol,Club 36  Unit of Vrunda Entertainment LLP,Rajkot   Morbi Highway  Behind Jog Ashram  Lajai,10,2 Star,23456,All meals
28,Gujarat,Morvi,2.4,Without Alcohol,Shiv Hotel,Opp  Shiv Petroleum  Morbi   Halvad Highway  Nichi Mandal,21,2 Star,24875,Lunch
29,Gujarat,Navsari,4.7,Without Alcohol,HARE KRISHNA HOTEL,Block no 568 2 Block no  573 Village Padgha national highway no  08 nr Veshma Chokdi Navsari 396445 Gujarat,15,2 Star,18567,Breakfast
30,Gujarat,Porbandar,4.1,Without Alcohol,HOTEL BALAJI PALACE,3 WADI POT MG ROAD KAMALA BAUG porbandar 360575,20,2 Star,19872,Dinner
31,Gujarat,Saurashtra,1.3,Without Alcohol,Rann Riders,Sh 18  Surendranagar  Dasada,29,2 Star,16854,Breakfast
32,Gujarat,Vadodara,2.2,Without Alcohol,EFFOTEL BY SAYAJI,EFFOTEL BY SAYAJI  OPPOSITE RAJSHREE CENTER  NEAR KALAGHODA CIRCLE SAYAJIGUNJ  VADODARA   390 005,83,2 Star,29234,All meals
33,Himachal Pradesh,Manali,3.6,Without Alcohol,HOTEL VALLEY OF GODS,VILLAGE   P O VASHISHT  TEHSIL  MANALI DISTT  KULLU  H P ,15,2 Star,25309,All meals
34,Kerala,Thiruvananthapuram,3.7,Without Alcohol,Hotel Marine Palace ,Beach Road   Hawah Beach  Kovalam P O   Thiruvananthapuram Dist   Kerala   Pin 695527,20,2 Star,27456,Lunch
35,Kerala,Thiruvananthapuram,4.6,Without Alcohol,JEEVAN AYURVEDIC BEACH RESORT,LIGHT HOUSE BEACH  KOVALAM  VIZHINJAM P O,14,2 Star,29845,Breakfast
36,Maharashtra,Kollhapur,1,Without Alcohol,Hotel Vrishali Executive  A unit of Vrishali Hotels Pvt  Ltd  ,39 A 2  TARABAI PARK Kollhapur,84,2 Star,22763,Dinner
37,Maharashtra,SANTACURZ,4.4,Without Alcohol,HOTEL AIRLINK,75 OFF NEHRU ROAD NEAR SANTACRUZ AIRPORT  VILE PARLE EAST   MUMBAI 400099 ,39,2 Star,26981,Lunch
38,Odisha,Sambalpur,3.4,Without Alcohol,Welcome Spa and Resort,At Po  Majhilali  PS  Sasan  Sambalpur,41,2 Star,17392,All meals
39,Rajasthan,Alwar,1.6,Without Alcohol,SPARROW INN  A Unit of Alwar Hospitality Pvt  Ltd  ,MANU MARG  ALWAR Alwar,19,2 Star,29576,Lunch
40,Andhra Pradesh,East Godavari,3.5,Without Alcohol,HOTEL SHELTON RAJAMAHENDRI,87 1 19B  AYYAPPA NAGAR  NEAR APSRTC COMPLEX ROAD  RAJAHMUNDRY ,97,3 Star,43027,All meals
41,Andhra Pradesh,Kakinada,2.4,Without Alcohol,Royal Park Sri Adilakshmi Property Developers Pvt  Ltd  ,Royal Park  Sri Adilakshmi Property Developers Pvt  Ltd   D No   19 1 107  Kosurivari Street  Kakinada 533001  East Godavari  Andhra Pradesh ,84,3 Star,63482,Breakfast
42,Andhra Pradesh,Kurnool,4,Without Alcohol,Triguna Clarks Inn,Adjacent to bus stand  Kallur Road,49,3 Star,35931,Dinner
43,Andhra Pradesh,Nellore,3,Without Alcohol,MINERVA GRAND   NELLORE,MINERVA GRAND   A UNIT OF SECUNDERABAD HOTELS PVT LTD  24 2 474 1  DARGAMITTA  G T ROAD  NELLORE  ANDHRA PRADESH   524 003 Nellore,106,3 Star,41567,Dinner
44,Andhra Pradesh,Rajahmundry,1.1,Without Alcohol,La Hospin Hotel Rajahmundry  A unit of La Hospin Hotels and Resorts Private Limited ,NEAR PUSHKARGHAT  RAJAHMUNDRY Rajahmundry Rajahmundry,69,3 Star,68394,All meals
45,Andhra Pradesh,Rajam,2.3,Without Alcohol,River Bay Resort,D No 5 1 36  River Bay Road  Near ISKCON Temple  Gautama Ghat  Rajamahendravaram,68,3 Star,57812,Breakfast
46,Andhra Pradesh,Tirupati,2.4,Without Alcohol,BHIMAS RESIDENCY HOTEL  A UNIT OF BHIMAS RESIDENCY HOTELS PRIVATE LIMITED ,19 3 41  NEAR RAILWAY OVER BRIDGE  RENIGUNTA ROAD  TIRUPATI Tirupati Tirupati Tirupati,48,3 Star,72894,Lunch
47,Andhra Pradesh,Tirupati,4.7,Without Alcohol,FORTUNE KENCES HOTEL,OPP  APS RTC BUS TERMINAL  TIRUPATI,126,3 Star,31754,Breakfast
48,Andhra Pradesh,Tirupati,4.1,Without Alcohol,Hotel Bliss,Door No 19 3 45  Ramanuja Circle Renigunta Road Tirupati Tirupati,92,3 Star,44983,Dinner
49,Andhra Pradesh,Tirupati,1.3,Without Alcohol,Minerva Grand Tirupati,19 3 39  Renigunta Road  Nr Rly Flyover Bridge  Tirupati,69,3 Star,65287,All meals
50,Andhra Pradesh,Vijayawada,4.6,Without Alcohol,HOTEL AJANTHA EVERGREEN,D  NO  29 13 15  KALESHWAR RAO STREET  NAKKAL ROAD,36,3 Star,49105,All meals
51,Andhra Pradesh,Vijayawada,3,Without Alcohol,Hotel Manorama A Unit of Welcome Poorna Enterprises Private Limited ,27 37 157 M G Road Governor Pet ,70,3 Star,71456,Breakfast
52,Andhra Pradesh,Vijayawada,5,Without Alcohol,HOTEL MIDCITY,A Unit of Sri Venkateswara Theatre  38 8 45  M G Road  Punnammathota  Opp All India Radio Station  ,44,3 Star,38276,All meals
53,Andhra Pradesh,Vijayawada,4,Without Alcohol,THE KAY HOTEL,48 12 4 1 GUNADALA VIJAYAWADA ,40,3 Star,53621,Dinner
54,Andhra Pradesh,Visakhapatnam,2.2,Without Alcohol,BEST WESTERN RAMACHANDRA,8 8 36 Main Road  Old Gajuwaka,64,3 Star,33927,Breakfast
55,Andhra Pradesh,Visakhapatnam,4.5,Without Alcohol,FAIRFIELD BY MARRIOTT,K S R DEVELOPERS PVT LTD  SURVEY NO 106 1B2 PART  WARD NO 39 MADHAVDHARA NEAR R B JUNCTION NH 5ROAD  VISAKHAPATNAM 530018,121,3 Star,58402,Lunch
56,Arunachal Pradesh,Itanagar,5,Without Alcohol,Cygnett Inn Trendz,Chandra Nagar  Nrae DC Capital Complex Itanagar,32,3 Star,62347,All meals
57,Arunachal Pradesh,Itanagar,2.2,Without Alcohol,Waii International Hotel,Mesueme Colony  Near State Meuseum  Itanagar Papum Pare District ,50,3 Star,36821,Dinner
58,Arunachal Pradesh,West Kameng,4.4,Without Alcohol,NORPHEL RETREAT DIRANG,Rungkhung Dirang  West Kameng District 790101 West Kameng,45,3 Star,74291,Breakfast
59,Assam,Dibrugarh,3.2,Without Alcohol,Hotel Rainbow ,T R Phukan Road  West chowkidinghee  Dibrugarh Dibrugarh,25,3 Star,55309,Lunch
60,Assam,Dibrugarh,2,Without Alcohol,PUSHKARA GARDEN,Natun Gaon  Dibrugarh,60,3 Star,47865,All meals
61,Assam,Guwahati,4.7,Without Alcohol,DICHANG RESORT,Sonapur  Pathorkuchi  N H 37,57,3 Star,66935,All meals
62,Assam,Guwahati,5,Without Alcohol,HOTEL CITYWALK INTERNATIONAL,B BAROOAH ROAD  ULUBARI  GUWAHATI,41,3 Star,69142,Lunch
63,Assam,Guwahati,2.4,Without Alcohol,Hotel Paramount Palacio,Opp Farm Gate  Above Poddar Car World  G S  Road  Khanapara  Guwahati Guwahati,25,3 Star,32891,Breakfast
64,Assam,Guwahati,3.1,Without Alcohol,Mayflower Hotel  A Unit of Mayflower Hotels and Resorts LLP ,MLN ROAD PANBAZAR Guwahati,36,3 Star,47543,Dinner
65,Assam,Guwahati,2.6,Without Alcohol,The Lily Hotel,G S  ROAD  SIX MILE   KHANAPARA  GUWAHATI,78,3 Star,54892,All meals
66,Assam,Jorhat,1.4,Without Alcohol,Gulmohar Grand  an Unit of Borthakur Developers ,Choladhara Road  Jorhat 785001  Assam,26,3 Star,34678,Dinner
67,Assam,Kokrajhar,4.9,Without Alcohol,HOTEL GAURANG VALLEY,J D  ROAD  TENGAPARA  WARD NO  5  KOKRAJHAR,62,3 Star,70928,Breakfast
68,Assam,Mangaldoi,1.9,Without Alcohol,Repose Highway Resort  A unit of Repose Highway Resort Private Limited ,Vill Boinaojha  Aulachowka  P O    P S  Magnaldoi  Discrict   Darrang Mangaldoi,20,3 Star,73481,All meals
69,Assam,Nagaon,2.9,Without Alcohol,HOTEL BLUE BIRD,MADHAB DEV ROAD  NORTH HAIBARGAON,22,3 Star,48302,Lunch
70,Bihar,Bodhgaya,3.7,Without Alcohol,Oaks Bodhgaya  A unit of Bodhi Hotel and Resorts Pvt  Ltd  ,Khata No  141  Plot No  80 and Khata No  778  Plot No  97  P S    Bodhgaya  Thana No  359  District   Gaya  Bihar Bodhgaya,78,3 Star,73795,Breakfast
71,Chhattisgarh,Bilaspur,3.5,Without Alcohol,COURTYARD BY MARRIOTT BILASPUR ,COURTYARD BY MARRIOTT BILASPUR City Mall 36  Mangla Chowk  Bilaspur     495001,100,3 Star,56418,All meals
72,Chhattisgarh,Bilaspur,3.1,Without Alcohol,Hotel Intercity International,Jagmal Chowk,39,3 Star,75000,Dinner
73,Chhattisgarh,Bilaspur,4.1,Without Alcohol,THE EMERALD,NEAR OLD BUS STAND TELEPHONE EXCHANGE ROAD ,22,3 Star,42967,Lunch
74,Chhattisgarh,Durg Bhilai Nagar,3.1,Without Alcohol,Hotel Ashish International,G E Road  Power House,17,3 Star,34529,Breakfast
75,Chhattisgarh,Durg Bhilai Nagar,4.6,Without Alcohol,Hotel Grand Dhillon,A 1 Nehru Parisar   Nehru Nagar Square GE Road Bhilai ,39,3 Star,52713,All meals
76,Chhattisgarh,Korba,2.972461752,Without Alcohol,hotel relax inn,korba champa road urga,42,3 Star,64820,Dinner
77,Chhattisgarh,Raigarh,2.972461752,Without Alcohol,Hotel Accordd Premier  ACCORDD Chain of Hotels ,Hotel Accordd Premier Jagatpur Dhimrapur Road Raigarh Raigarh,35,3 Star,61304,Lunch
78,Chhattisgarh,Raigarh,2.972461752,Without Alcohol,Hotel Ans International,Jagatpur   Dhimrapur Road  Raigarh  Chattisgarh Raigarh Raigarh,71,3 Star,46287,Breakfast
79,Chhattisgarh,Raipur ,2.972461752,Without Alcohol,GREENWOOD FOURSEASONS ,GREENWOOD FOURSEASONS  VIP ROAD  PURENA  ,15,3 Star,51209,All meals
80,Chhattisgarh,Raipur ,4,Without Alcohol,HOTEL GAGAN REGENCY,OPP  GATE NO  1  AIIMS  G  E  ROAD  TATIBANDH  RAIPUR  C G   PIN 492001 ,26,3 Star,70563,Lunch
81,Chhattisgarh,Raipur ,3,Without Alcohol,HOTEL IVY,PRIYADARSHINI NAGAR  NEAR PACHPEDI NAKA,38,3 Star,61092,Breakfast
82,Chhattisgarh,Raipur ,1.1,Without Alcohol,HOTEL KINGSWAY,RING ROAD NO  1 NEAR AIRTEL OFFICE TELIBANDHA RAIPUR ,30,3 Star,38745,All meals
83,Chhattisgarh,Raipur ,2.3,Without Alcohol,HOTEL SOLITAIRE   A UNIT OF R R S K ENTERPRISES ,BEHIND STATE BANK OF INDIA MAIN BRANCH ANAND TAKIES ROAD NEAR JAISTAMBH CHOWK RAIPUR  C G  ,48,3 Star,43926,Dinner
84,Chhattisgarh,Raipur ,2.4,Without Alcohol,HOTEL THE GOLDEN OAK,J B  MALL NEAR GURUNANAK CHOWK M  G  ROAD  RAIPUR,28,3 Star,50283,Breakfast
85,Chhattisgarh,Raipur ,4.7,Without Alcohol,RMV RESORT AND HOTELS PVT LTD,HOTEL VW CANYON  NEAR   AGRASEN DHAM  VIP ROAD   II  PHUNDAHAR  RAIPUR   492006  CHHATTISHGARH,111,3 Star,41690,Lunch
86,Chhattisgarh,Rajnandgaon,4.1,Without Alcohol,Hotel Awana,Near New Gurudwara  GE Road  Rajnandgoan Rajnandgaon,15,3 Star,63172,All meals
87,Delhi,New Delhi,1.3,Without Alcohol,HOTEL THE MANOR,77 FREINDS COLONY  W  NEW DELHI  110065,12,3 Star,37840,Dinner
88,Goa,Margao,3,Without Alcohol,Hotel Nanutel Margao,Padre Miranda Road,55,3 Star,66821,Breakfast
89,Goa,vasco da gama,5,Without Alcohol,Hotel La Paz Gardens  A unit of Hotel La Paz Gardens Pvt  Ltd  ,Swatantra Path  Vasco da Gama vasco da gama vasco da gama,73,3 Star,67439,All meals
90,Gujarat,Ahmedabad,4,Without Alcohol,Aarya Grand Hotels Resorts,Kargil Petrol Pump Lane  Near Gujarat High Court  Sarkhej   Gandhinagar Highway,105,3 Star,40512,Lunch
91,Gujarat,Ahmedabad,2.2,Without Alcohol,AJU IMPERIAL HOTEL  A UNIT OF AJU RYOKAN NCR PVT LTD  ,Survey No  414  Village Jalisana  Jalisana to Nayakpur Road Taluka  Mandal  Distt  Ahmedabad  Gujarat 382120,107,3 Star,54309,Breakfast
92,Gujarat,Ahmedabad,4.5,Without Alcohol,AVALON HOTEL AND BANQUETS,OPP MANGO GARDEN BUNGLOWS  NEAR SINDHU BHAVAN ROAD OFF S G  HIGHWAY BODAKDEV,46,3 Star,67918,All meals
93,Gujarat,Ahmedabad,5,Without Alcohol,Belvedere Club  A unit of BELVEDERE GOLF AND COUNTRY CLUB PVT LTD,ADANI SHANTIGRAM  S G HIGHWAY  NEAR VAISHNODEVI CIRCLE Ahmedabad,55,3 Star,60287,Dinner
94,Gujarat,Ahmedabad,2.2,Without Alcohol,Bloom Suites  A unit of Ms Rising Hotel Limited ,Surdhara Circle  Off Drive In Road  Thaltej  Ahmedabad Ahmedabad,68,3 Star,62850,Breakfast
95,Gujarat,Ahmedabad,4.4,Without Alcohol,Comfort Inn President  A unit of Sun N Silver Inn Pvt  Ltd ,OPP MUNICIPAL MARKET  OFF C G ROAD  NAVRANGPURA  AHMEDABAD Ahmedabad,57,3 Star,69730,Lunch
96,Gujarat,Ahmedabad,3.2,Without Alcohol,COMFORT INN SUNSET,AIRPORT CIRCLE HANSOL AHMEDABAD,57,3 Star,57182,All meals
97,Gujarat,Ahmedabad,2,Without Alcohol,HOTEL CENTRA,KHANPUR  AHMEDABAD 380001,37,3 Star,58392,Dinner
98,Gujarat,Ahmedabad,2.972461752,Without Alcohol,HOTEL NALANDA,MITHAKHALI SIX ROADS  NEAR LIONS HALL  ELLISBRIDGE  AHMEDABAD   380 006,43,3 Star,72418,All meals
99,Gujarat,Ahmedabad,1,Without Alcohol,Hotel Silvera Grand,Unit of Silvera Hotels  Dehgam Circle  S P Ring Road  Hanspura  Village Bilasiya,21,3 Star,69592,Breakfast
100,Gujarat,Ahmedabad,4.4,Without Alcohol,Palm Greens Club  Unit of Snesh Resorts Private Limited,NH No 8  Bareja   Kheda Highway  Village Goblaj  Near Bareja Ahmedabad,62,3 Star,32798,Lunch
101,Gujarat,Ahmedabad,3.4,Without Alcohol,Regenta Central Antarim ,A Unit of Antarim Hotel LLP  Between Girish Cold Drink   St Xaviers Corner  C G Road  Navrangpura Ahmedabad,73,3 Star,64291,All meals
102,Gujarat,Ahmedabad,1.6,Without Alcohol,Regenta Inn   Ranip,Arved Transcube Plaza  Opp Adi Jati Girls Hostel  132 Ft Ring Road  Ranip Ahmedabad,102,3 Star,59345,Breakfast
103,Gujarat,Ahmedabad,3.5,Without Alcohol,TGB EXPRESS HOTEL  A UNIT OF HOTEL PALMLAKE  KANKARIA  PVT  LTD ,TGB EXPRESS HOTEL  NR  JALDHARA WATER PARK  KANKARIA GATE 5  MANINAGAR Ahmedabad Ahmedabad Ahmedabad,33,3 Star,50938,Dinner
104,Gujarat,Anand,2.4,Without Alcohol,Humming Bird Hotel and Banquet,Behind Architect College  Near University Library  Iscon Temple Road  V V  Nagar  Anand,38,3 Star,73129,All meals
105,Gujarat,Anand,4,Without Alcohol,LA CASA INN ,UNIT OF SHREE A   A COMPANY,44,3 Star,70382,Lunch
106,Gujarat,Bharuch,3,Without Alcohol,Regenta Central Harimangla,Near ABC Cir  Old N H  8  Bholav  Bharuch  Gujarat 392015,104,3 Star,37892,Breakfast
107,Gujarat,Bharuch,1.1,Without Alcohol,Regenta Central Hestia Dahej,SURVEY NO 106  VILLAGE  BHENSALI  TALUKA  VAGRA ,69,3 Star,35829,All meals
108,Gujarat,Bharuch,2.3,Without Alcohol,VEDIK RESORT,SURVEY NO 45  OLPAD SAHOL ROAD  VILLAGE SAHOL  BHARUCH GUJARAT 394810,129,3 Star,69421,Dinner
109,Gujarat,Bhavnagar,2.4,Without Alcohol,Top3 Lords Resort  A unit of Tree Top Resorts Spa Pvt  Ltd  ,Plot No 1   2  Near BPCL Petrol Pump  Budhel     Vartej Cross Road   Bhavnagar   Gujarat  364002,39,3 Star,44512,Lunch
110,Gujarat,Bhavnagar,2.972461752,Without Alcohol,VIRGO SUMERU,PLOT NO  109 A BESIDE STERLING POINT WAGHAWADI ROAD Bhavnagar,33,3 Star,47923,All meals
111,Gujarat,Bhuj,4,Without Alcohol,HOTEL COMFORT INN PRINCE ,STATION ROAD Bhuj,44,3 Star,66123,Breakfast
112,Gujarat,Bhuj,3,Without Alcohol,HOTEL ILARK,Nr RAVI CINEMA STATION ROAD,29,3 Star,52317,All meals
113,Gujarat,Bhuj,1.1,Without Alcohol,HOTEL SEVEN SKY,SEVEN SKY ENTERTAINMENT PVT LTD  AIRPORT ROAD  BHUJ   KUTCHH  PIN 370001  GUJARAT,82,3 Star,41937,Breakfast
114,Gujarat,Bhuj,2.3,Without Alcohol,LaKamp Resort  Unit of Kashish Resort ,Survey No 116 1  Near Rudra Mata Temple  Village Saraspar  Taluka Bhuj  Dist  Kutch 370001  Bhuj Bhuj,29,3 Star,53629,Lunch
115,Gujarat,Bhuj,2.4,Without Alcohol,The Fern Residency Bhuj  A unit of Ms THE BESIL INN ,Bhuj Anjar Highway Near Tulsi Hotel Madhavpar Bhuj,46,3 Star,63715,Dinner
116,Gujarat,Dang,4.7,Without Alcohol,Sunotel,Sunotel Unit of Shriji Resort Hotels Pvt  Ltd  Opp Lake Garden  Nageshwar Mahadev Temple Road  Saputara,90,3 Star,34589,All meals
117,Gujarat,Dwarka,4.1,Without Alcohol,Bapu   s Resort  Unit of Bapu Enterprise ,S NO 389P1  NH 8E Village Vachhu  Dwarka  Dwarka Dwarka ,52,3 Star,45892,Breakfast
118,Gujarat,Jamnagar,1.3,Without Alcohol,Highway Hari,Jamnagar Dwarka Highway  Near Vasai Toll booth  Ravalsar Patiya  ,19,3 Star,75000,Dinner
119,Gujarat,Kutch,3,Without Alcohol,ambar sarovar portico,plot no 100 sector 8 near oslo circle Gandhidham Kutch Gujarat Pin 370201,58,3 Star,71942,All meals
120,Gujarat,Mahesana,5,Without Alcohol,HOTEL SHIVALIK,Nugar Bypass Highway Iskon Circle Opp Essar Petrol Pump  Nugar Mehsana,30,3 Star,48673,Lunch
121,Gujarat,Morabi,4,Without Alcohol,Sarovar Portico  Unit of Specific Ceramic Hotel,Iskon Tiles Zone  8 A National Highway  Rafaleshwar,59,3 Star,74295,Breakfast
122,Gujarat,Morbi,2.2,Without Alcohol,Khajoora Hotel n Resort,Rajkot   Morbi HIghway  Tankara,40,3 Star,70281,All meals
123,Gujarat,Morvi,4.5,Without Alcohol,DARIYALAL HOTEL ,Survey no  66 paiki 1  66 paiki 2 and 68 paiki 2  Village  Jambudiya  Taluka  Morbi  District  Morbi 363642,18,3 Star,72539,Dinner
124,Gujarat,Morvi,5,Without Alcohol,HOTEL THE GRAND VAIBHAV,LAKHDHIRPUR ROAD  N H  8A  MORBI   363642,35,3 Star,38764,All meals
125,Gujarat,Morvi,2.2,Without Alcohol,Lords Eco Inn unit of Hotel Seven Paradise,Pipli Jetpar Road  Seven Cera Mall  Village Bela  Morbi,40,3 Star,55238,Lunch
126,Gujarat,Morvi,4.4,Without Alcohol,OAK TREE,SURVEY NO 22 JAMBUDIYA N H NO 27 A MORBI 363641 ,52,3 Star,46289,Breakfast
127,Gujarat,Morvi,3.2,Without Alcohol,Regenta Inn Unit of Hotel The Grand Dharmendra,Near HDFC Bank opp  shakti Chamber 8 a Natioanl highway lalpar Road Morvi,54,3 Star,62134,All meals
128,Gujarat,Porbandar,2.4,Without Alcohol,LORDS ECO INN,Chowpati Road  Near Circuit House ,29,3 Star,74315,Dinner
129,Gujarat,Porbandar,3.1,Without Alcohol,Lords Eco Inn   A Unit of Delite Enterprise   ,Near Circuit House   Chopati Road   Porbandar ,29,3 Star,54312,Breakfast
130,Gujarat,Rajkot,2.6,Without Alcohol,AARYARAJ CLUB AND RESORTS,Opposite Gardi Vidyapith  Kallavad Road Chappra Rajkot 361162 Rajkot Rajkot,28,3 Star,65317,All meals
131,Gujarat,Rajkot,1.4,Without Alcohol,Hotel Comfort INN Legacy  Prop  S Kumar Associates Private Limited ,Limada Chowk  Near Lalbahadur Shastri Maidan  Panchnath Road ,37,3 Star,57293,Lunch
132,Gujarat,Rajkot,4.9,Without Alcohol,Hotel KK Beacon  A Unit of Hotel K K   India  Private Limited ,The KK Circle  Kalawad Main Road  Rajkot Rajkot Rajkot Rajkot,34,3 Star,72367,Breakfast
133,Gujarat,Rajkot,1.9,Without Alcohol,Krishna Park Resort  A unit of Messrs Hotel Krishna Park Nursary ,Krishna Park Circle  Gondal Road  Vavdi  Rajkot Rajkot,29,3 Star,39251,Dinner
134,Gujarat,Rajkot,2.9,Without Alcohol,marasa sarovar portico rajkot ,dr  rajendra prasad road  limda chowk  opposite shastri maidan rajkot ,68,3 Star,66821,All meals
135,Gujarat,Rajkot,3.7,Without Alcohol,Phoenix Hospitality,Kalawad Road  Ishwariya Road Corner  Rajkot   Gujarat,24,3 Star,41536,Lunch
136,Gujarat,Rajkot,3.5,Without Alcohol,REGENCY LAGOON RESORT,NYARI DAM ROAD  OFF  KALAWAD ROAD  RAJKOT,120,3 Star,62731,Breakfast
137,Gujarat,Rajkot,3.1,Without Alcohol,Regenta Central Rajkot  Unit of P P Developers ,Everest Park  Kalawad Road,92,3 Star,74678,Dinner
